"country","year","suicides_no","population","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","suicides_rate"
"Ukraine",2010,9089,43296809,5.058,9.374,0.884,62.2,20.99
"Ukraine",2011,8973,43074791,5.083,9.431,0.859,62.5,20.83
"Ukraine",2012,9058,42915935,5.03,9.436,0.898,62.8,21.11
"Ukraine",2014,7968,40464165,4.297,9.426,0.877,63.4,19.69
"Ukraine",2015,7574,40345446,3.965,9.327,0.909,63.7,18.77
"United Kingdom",2005,4047,56809024,6.984,10.663,0.979,69.9,7.12
"United Kingdom",2007,3897,57382757,6.802,10.699,0.97,70.46,6.79
"United Kingdom",2008,4259,57683372,6.986,10.689,0.954,70.74,7.38
"United Kingdom",2009,4246,58013559,6.907,10.638,0.964,71.02,7.32
"United Kingdom",2010,4188,58403529,7.029,10.649,0.955,71.3,7.17
"United Kingdom",2011,4393,58881852,6.869,10.657,0.949,71.38,7.46
"United Kingdom",2012,4444,59708630,6.881,10.664,0.935,71.46,7.44
"United Kingdom",2013,4824,60091793,6.918,10.679,0.937,71.54,8.03
"United Kingdom",2014,4788,60570482,6.758,10.697,0.91,71.62,7.9
"United Kingdom",2015,4910,61082942,6.515,10.712,0.936,71.7,8.04
"United States",2006,33292,278980848,7.182,10.924,0.965,68.06,11.93
"United States",2007,34596,280658606,7.513,10.933,0,68.22,12.33
"United States",2008,36030,282355565,7.28,10.922,0.953,68.38,12.76
"United States",2009,36900,285162662,7.158,10.888,0.912,68.54,12.94
"United States",2010,38362,287839149,7.164,10.905,0.926,68.7,13.33
"United States",2011,39508,290313825,7.115,10.913,0.922,68.68,13.61
"United States",2012,40596,292827128,7.026,10.928,0.903,68.66,13.86
"United States",2013,41143,295322862,7.249,10.939,0.925,68.64,13.93
"United States",2014,42769,297749735,7.151,10.956,0.902,68.62,14.36
"United States",2015,44189,300078511,6.864,10.977,0.904,68.6,14.73
"Uruguay",2006,528,3077445,5.786,9.543,0.912,67.44,17.16
"Uruguay",2007,576,3087957,5.694,9.604,0.875,67.58,18.65
"Uruguay",2008,523,3100791,5.664,9.671,0.879,67.72,16.87
"Uruguay",2009,511,3114306,6.296,9.71,0.924,67.86,16.41
"Uruguay",2010,547,3127306,6.062,9.782,0.893,68,17.49
"Uruguay",2012,599,3151939,6.45,9.861,0.865,68.28,19
"Uruguay",2013,546,3164670,6.444,9.904,0.917,68.42,17.25
"Uruguay",2014,591,3177645,6.561,9.932,0.902,68.56,18.6
"Uruguay",2015,630,3190795,6.628,9.932,0.891,68.7,19.74
"Uzbekistan",2009,1399,25288102,5.261,8.4,0.905,62.76,5.53
"Uzbekistan",2010,1464,25651783,5.095,8.445,0.903,63.2,5.71
"Uzbekistan",2011,1640,25978049,5.739,8.493,0.924,63.4,6.31
"Uzbekistan",2012,1835,26381830,6.019,8.55,0.933,63.6,6.96
"Uzbekistan",2013,1950,26838924,5.94,8.607,0.963,63.8,7.27
"Uzbekistan",2014,2095,27313507,6.049,8.659,0.952,64,7.67
